Term,Category Code,Category Name,Tweet,Example Tweet Tokens,Example Tweet Tags
killed {Number} people,T03,Dead people,"RT @BBCBreaking: One of owners of Kiss nightclub and 2 members of a band arrested in #Brazil, where nightclub fire killed 231 people htt ...","RT @BBCBreaking : One of owners of Kiss nightclub and 2 members of a band arrested in #Brazil , where nightclub fire killed 231 people htt ...","~ @ ~ $ P N P ^ ^ & $ N P D N V P ^ , R N N V $ N U ~"
killed {Number} person,T03,Dead people,At least 1 dead in Colo. flooding: Severe flooding in Jamestown in Colorado's Boulder County killed one person... http://t.co/4IwenaofFy,At least 1 dead in Colo . flooding : Severe flooding in Jamestown in Colorado's Boulder County killed one person ... http://t.co/4IwenaofFy,"P A $ A P ^ , V , A V P ^ P Z ^ ^ V $ N , U"
killed {Number} ppl,T03,Dead people,Whaaat!?!? So there was a huge earthquake in Pakistan that killed 45 ppl.. Also it created a fuckin new island in the ocean!!,Whaaat !?!? So there was a huge earthquake in Pakistan that killed 45 ppl .. Also it created a fuckin new island in the ocean !!,"! , R R V D A N P ^ O V $ N , R O V D A A N P D N ,"
killed {Number}+,T03,Dead people,"Profile of Md Sohel Rana, owner of the collapsed building in #Bangladesh that killed 500+. http://t.co/nT95oWAsW8","Profile of Md Sohel Rana , owner of the collapsed building in #Bangladesh that killed 500+ . http://t.co/nT95oWAsW8","N P ^ ^ ^ , N P D A N P ^ O V $ , U"
killed at lax shooting,T03,Dead people,TSA Agent Killed at LAX Shooting; Suspect in Custody http://t.co/kyyFqBAyBv via http://t.co/hdZI6v6ii9 #uspolitics,TSA Agent Killed at LAX Shooting ; Suspect in Custody http://t.co/kyyFqBAyBv via http://t.co/hdZI6v6ii9 #uspolitics,"^ N V P ^ ^ , V P N U P U #"
killed at least,T03,Dead people,"RT @faizanlakhani: Heavy rain & floods across #Pakistan have affected 334,764 people, killed at least 108 people. 2,427 houses in 770 villa‚Ä","RT @faizanlakhani : Heavy rain & floods across #Pakistan have affected 334,764 people , killed at least 108 people . 2,427 houses in 770 villa‚Ä","~ @ ~ A N & N P ^ V V $ N , V P A $ N , $ N P $ N"
killed at least {Number},T03,Dead people,"Officials investigating deadly @MetroNorth train derailment that killed at least 4 in #NYC, reports @JMoNECN http://t.co/qzjJNH7iDm","Officials investigating deadly @MetroNorth train derailment that killed at least 4 in #NYC , reports @JMoNECN http://t.co/qzjJNH7iDm","^ V A @ N V O V P A $ P ^ , N @ U"
killed at least {Number} people,T03,Dead people,VIDEO: Hundreds dead in Pakistan earthquake: A powerful earthquake killed at least 328 people in Pakistan's re... http://t.co/25lSLHJzga,VIDEO : Hundreds dead in Pakistan earthquake : A powerful earthquake killed at least 328 people in Pakistan's re ... http://t.co/25lSLHJzga,"N , N A P ^ N , D A N V P A $ N P Z N , U"
killed by flash flooding,T03,Dead people,"RT @NightjarTravel: Terrible news MT @News24: 300k people displaced, 108 others killed by flash flooding #Pakistan http://t.co/DOeB5UOhJu h‚Ä","RT @NightjarTravel : Terrible news MT @News24 : 300k people displaced , 108 others killed by flash flooding #Pakistan http://t.co/DOeB5UOhJu h‚Ä","~ @ ~ A N G @ ~ $ N V , $ N V P N V # U ^"
killed by floods,T03,Dead people,RT @WilliamsJon: Top tip: don't! Reporter climbs on shoulders of victim to report &gt;1000 killed by floods in India's Uttarakhand state http:...,RT @WilliamsJon : Top tip : don't! Reporter climbs on shoulders of victim to report > 1000 killed by floods in India's Uttarakhand state http : ...,"~ @ ~ A N , V N V P N P N P V E $ V P N P Z ^ N N ~ E"
killed more than {Number},T03,Dead people,Another lesson to nightclub owners; place safety first not revenue.  Brazil nightclub fire likely killed more than 200. http://t.co/BOgvHf50,Another lesson to nightclub owners ; place safety first not revenue . Brazil nightclub fire likely killed more than 200 . http://t.co/BOgvHf50,"D N P N N , N N R R N , ^ N N A V A P $ , U"
killed more than {Number} people,T03,Dead people,"VIDEO: Earthquake creates island off coast: An earthquake, which killed more than 200 people in Pakistan, has ... http://t.co/AhKM9z8hAg","VIDEO : Earthquake creates island off coast : An earthquake , which killed more than 200 people in Pakistan , has ... http://t.co/AhKM9z8hAg","N , ^ V N P N , D N , D V A P $ N P ^ , V , U"
killed nearly {Number} people,T03,Dead people,@BBCBreaking embarrassing coverage of Philippines Earthquake which  killed nearly 100 people Yet you cover less stories with more focus!,@BBCBreaking embarrassing coverage of Philippines Earthquake which killed nearly 100 people Yet you cover less stories with more focus !,"@ A N P ^ ^ D V R $ N R O V A N P A N ,"
killed people this morning,T03,Dead people,RT @DANIgirlhay: omg... There was a huge meteor that hit in Russia &amp; killed people this morning..,RT @DANIgirlhay : omg ... There was a huge meteor that hit in Russia & killed people this morning ..,"~ @ ~ ! , X V D A N P V P ^ & V N D N ,"
killed today at lax,T03,Dead people,RT @AlfredoFlores: My prayers are with the family of the TSA agent who was killed today at LAX and the other victims injured in this shooti...,RT @AlfredoFlores : My prayers are with the family of the TSA agent who was killed today at LAX and the other victims injured in this shooti ...,"~ @ ~ D N V P D N P D ^ N O V V N P ^ & D A N V P D N ,"
killer cyclone,T03,Dead people,"#googlenews PM Update: Clear, cold into Wednesday; killer cyclone Cleopatra in Sardinia - Washington Post (blog) http://t.co/H0Pf6yBFzk","#googlenews PM Update : Clear , cold into Wednesday ; killer cyclone Cleopatra in Sardinia - Washington Post ( blog ) http://t.co/H0Pf6yBFzk","# N N , A , A P ^ , A N ^ P ^ , ^ N , N , U"
killer earthquake,T03,Dead people,Is Global Warming to Blame for the Killer Earthquake in the Philippines?: Greener IdealGlobal... http://t.co/YU4gS4Dd4g #GlobalWarming,Is Global Warming to Blame for the Killer Earthquake in the Philippines ? : Greener IdealGlobal ... http://t.co/YU4gS4Dd4g #GlobalWarming,"V A N P V P D ^ ^ P D ^ , ~ A G ~ U #"
killer earthquakes that struck,T03,Dead people,http://t.co/ohZH85Te Double quake highlights Italy's seismic perils: Two killer earthquakes that struck northeas... http://t.co/wwJtDS47,http://t.co/ohZH85Te Double quake highlights Italy's seismic perils : Two killer earthquakes that struck northeas ... http://t.co/wwJtDS47,"U ^ N N Z A N , $ A N P V G ~ U"
killer floods,T03,Dead people,RT @billmckibben: Killer floods as Sardinia receives half its annual rainfall in a day. Insane http://t.co/85I6K1ZQYf,RT @billmckibben : Killer floods as Sardinia receives half its annual rainfall in a day . Insane http://t.co/85I6K1ZQYf,"~ @ ~ ^ N P ^ V R L A N P D N , A U"
killer floods triggered,T03,Dead people,Kedarnath temple compound damaged due to flood; report says 50 pilgrims dead: The killer floods triggered by t... http://t.co/4pWJ4nX2jd,Kedarnath temple compound damaged due to flood ; report says 50 pilgrims dead : The killer floods triggered by t ... http://t.co/4pWJ4nX2jd,"^ ^ N V A P V , N V $ N A , D N N V P G ~ U"
killer quake,T03,Dead people,Philippines struggles to help victims of killer quake: Rescue workers were forced Thursday onto boats and heli... http://t.co/e48dMePWMU,Philippines struggles to help victims of killer quake : Rescue workers were forced Thursday onto boats and heli ... http://t.co/e48dMePWMU,"^ V P V N P ^ ^ , N N V A ^ P N & N , U"
killing,T03,Dead people,"DEADLY INFERNO: More Than 180 Killed in Brazil Nightclub Fire: Bus Crashes Into Ravine in Portugal, Killing 10Re... http://t.co/vfp4SukI","DEADLY INFERNO : More Than 180 Killed in Brazil Nightclub Fire : Bus Crashes Into Ravine in Portugal , Killing 10Re ... http://t.co/vfp4SukI","A N , A P $ V P ^ ^ ^ , N V P N P ^ , V G ~ U"
killing {Number},T03,Dead people,"Worst/record breaking:  Here all the time now:Sardinia Storm: 'Apocalyptic' Weather Floods Italian Island, Killing 17 http://t.co/KIMdQUdvgu","Worst/record breaking : Here all the time now : Sardinia Storm : ' Apocalyptic ' Weather Floods Italian Island , Killing 17 http://t.co/KIMdQUdvgu","A N , R X D N R , ^ N , , N , ^ N A N , V $ U"
killing {Number} passengers,T03,Dead people,"RT @AP: MORE: NTSB says train was traveling 82 mph in a 30 mph zone when it derailed in NYC, killing 4 passengers: http://t.co/PA92feQJHw -...","RT @AP : MORE : NTSB says train was traveling 82 mph in a 30 mph zone when it derailed in NYC , killing 4 passengers : http://t.co/PA92feQJHw - ...","~ @ ~ A , ^ V N V V $ N P D $ N N R O V P ^ , V $ N , U , ,"
killing {Number} people,T03,Dead people,"@Magicllamas_ During a marathon race, somebody put a bomb at,he finish line, killing two people and injuring MANY others.","@Magicllamas_ During a marathon race , somebody put a bomb at , he finish line , killing two people and injuring MANY others .","@ P D N N , N V D N P , O V N , V $ N & V A N ,"
killing {Number}s of americans,T03,Dead people,"@DaynaOG yeah, Westboro Baptists bomb the Boston Marathon, WTC, and Pentagon, killing 1000s of Americans ... NEVER.","@DaynaOG yeah , Westboro Baptists bomb the Boston Marathon , WTC , and Pentagon , killing 1000s of Americans ... NEVER .","@ ! , ^ N V D ^ N , ^ , & ^ , V $ P ^ , R ,"
killing at least,T03,Dead people,"Strong quake collapses buildings, roofs in central Philippines, killing at least 10 people http://t.co/1qkkuIs581 via @washingtonpost","Strong quake collapses buildings , roofs in central Philippines , killing at least 10 people http://t.co/1qkkuIs581 via @washingtonpost","A N V N , N P A N , V P A $ N U P @"
killing at least {Number},T03,Dead people,"Powerful quake hits Guatemala, killing at least 39 - Houston Chronicle: CBS NewsPowerful quake hits Guatemala, k... http://t.co/dEvZHgoK","Powerful quake hits Guatemala , killing at least 39 - Houston Chronicle : CBS NewsPowerful quake hits Guatemala , k ... http://t.co/dEvZHgoK","A N V ^ , V P A $ , ^ ^ , ^ ^ ^ V ^ , G ~ U"
killing at least {Number} people,T03,Dead people,"Strong quake collapses buildings, roofs in central Philippines, killing at least 10 people http://t.co/1qkkuIs581 via @washingtonpost","Strong quake collapses buildings , roofs in central Philippines , killing at least 10 people http://t.co/1qkkuIs581 via @washingtonpost","A N V N , N P A N , V P A $ N U P @"
killing dozens,T03,Dead people,"Spain passenger train derails, killing dozens - CBC.ca: CBC.caSpain passenger train derails, killing dozensCBC... http://t.co/FFcCp0YA17","Spain passenger train derails , killing dozens - CBC.ca: CBC . caSpain passenger train derails , killing dozensCBC ... http://t.co/FFcCp0YA17","^ N N N , V N , U ^ , ^ ^ N N , V G ~ U"
killing dozens of people,T03,Dead people,"Philippine Typhoon Kills Dozens: Typhoon Bopha hit the Philippines hard Tuesday, killing dozens of people, many ... http://t.co/W9qI0qYV","Philippine Typhoon Kills Dozens : Typhoon Bopha hit the Philippines hard Tuesday , killing dozens of people , many ... http://t.co/W9qI0qYV","^ ^ V N , ^ ^ V D ^ A ^ , V N P N , A , U"
killing hundreds,T03,Dead people,"RT @NewsMTA: We will also have an update on the powerful earthquake that struck Pakistan on Tuesday, killing hundreds.","RT @NewsMTA : We will also have an update on the powerful earthquake that struck Pakistan on Tuesday , killing hundreds .","~ @ ~ O V R V D N P D A N P V ^ P ^ , V N ,"
killing more than {Number} people,T03,Dead people,Typhoon Bopha hits #Philippines killing more than 280 people http://t.co/bo9aHnJa,Typhoon Bopha hits #Philippines killing more than 280 people http://t.co/bo9aHnJa,^ ^ V ^ V A P $ N U
killing of man,T03,Dead people,FBI killing of man with ties to Tsarnaev: Self-defense or excessive force? http://t.co/pBSY4ecdQ7,FBI killing of man with ties to Tsarnaev : Self-defense or excessive force ? http://t.co/pBSY4ecdQ7,"^ V P N P N P ^ , N & A N , U"
killing people,T03,Dead people,"RT @TieDyeTheSea: A helicopter crashed into a pub in Glasgow, killing people Paul Walker died today's storm-people died Nelson Mandela died...","RT @TieDyeTheSea : A helicopter crashed into a pub in Glasgow , killing people Paul Walker died today's storm-people died Nelson Mandela died ...","~ @ ~ D N V P D N P ^ , V N ^ ^ V S N V ^ ^ V ,"
killing scores of people,T03,Dead people,"Per CNN Breaking news: Driver of train which derailed in Spain, killing scores of people, accused of reckless homicide interior minister.","Per CNN Breaking news : Driver of train which derailed in Spain , killing scores of people , accused of reckless homicide interior minister .","P ^ ^ N , N P N D V P ^ , V N P N , V P A N N N ,"
kills {Number},T03,Dead people,"ISBPL: #NEWS Quake in southern Pakistan kills 2, tremors felt in Delhi (Rediff): Share With Friends:... http://t.co/dikpwzYs6o #business","ISBPL : #NEWS Quake in southern Pakistan kills 2 , tremors felt in Delhi ( Rediff ): Share With Friends : ... http://t.co/dikpwzYs6o #business","^ , # N P A ^ V $ , N V P ^ , N , V P N , ~ U #"
kills {Number} at venezuela refinery,T03,Dead people,enterprisedaily: Explosion kills 39 at Venezuela refinery - The death toll from an explosion at Venezuela's biggest ... http://t.co/7txOMBfO,enterprisedaily : Explosion kills 39 at Venezuela refinery - The death toll from an explosion at Venezuela's biggest ... http://t.co/7txOMBfO,"^ , N V $ P ^ N , D N N P D N P Z A , U"
kills {Number} people,T03,Dead people,Aw RT @CBSNews: Update: Bangladesh factory collapse kills 149 people http://t.co/NlNGdPEpGe,Aw RT @CBSNews : Update : Bangladesh factory collapse kills 149 people http://t.co/NlNGdPEpGe,"! ~ @ ~ N , ^ N N V $ N U"
kills {Number} people at least,T03,Dead people,Fox Insider: Brazil Nightclub Fire Kills 245 People At Least: A fire swept through a crowded nightclub in southe... http://t.co/SB8dEsZV,Fox Insider : Brazil Nightclub Fire Kills 245 People At Least : A fire swept through a crowded nightclub in southe ... http://t.co/SB8dEsZV,"^ ^ , ^ ^ ^ V $ N P A , D N V P D A N P G ~ U"
kills {Number} us troops,T03,Dead people,Helicopter crash kills 6 US troops in Afghanistan http://t.co/aiWOXUIHn2,Helicopter crash kills 6 US troops in Afghanistan http://t.co/aiWOXUIHn2,N N V $ ^ N P ^ U
kills about {Number},T03,Dead people,【News】 Timeline: Fire in nightclub kills about 200 in Brazil - Reuters http://t.co/UuRwOvrN,【News】 Timeline : Fire in nightclub kills about 200 in Brazil - Reuters http://t.co/UuRwOvrN,"^ ^ , ^ P N V P $ P ^ , ^ U"
kills at least,T03,Dead people,Hoping everyone will be OK... Earthquake in northern Italy kills at least 10 – http://t.co/KlS39GY0 http://t.co/g3dGINoA via @USATODAY,Hoping everyone will be OK ... Earthquake in northern Italy kills at least 10 – http://t.co/KlS39GY0 http://t.co/g3dGINoA via @USATODAY,"V N V V A , N P A ^ V P A $ , U U P @"
kills at least {Number},T03,Dead people,Pakistan earthquake 2013 kills at least 238 and leaves thousands injured and homeless http://t.co/cPWhPDHibX,Pakistan earthquake 2013 kills at least 238 and leaves thousands injured and homeless http://t.co/cPWhPDHibX,^ N $ V P A $ & V N V & A U
kills at least {Number} more,T03,Dead people,More than 200 Dead in Brazilian Nightclub Inferno:      Nightclub Fire in Brazil Kills at Least 232 More »  http://t.co/DptQrkXB,More than 200 Dead in Brazilian Nightclub Inferno : Nightclub Fire in Brazil Kills at Least 232 More » http://t.co/DptQrkXB,"A P $ A P A N N , ^ ^ P ^ V P A $ A ~ U"
kills at least {Number} passengers,T03,Dead people,"RT @AP: AP PHOTOS: NYC train derailment kills at least 4 passengers, injures dozens: http://t.co/VcCa3WMUjU -RJJ","RT @AP : AP PHOTOS : NYC train derailment kills at least 4 passengers , injures dozens : http://t.co/VcCa3WMUjU -RJJ","~ @ ~ ^ N , ^ N V V P A $ N , V N , U ^"
kills at least {Number} people,T03,Dead people,Three killed in Italy earthquake: An earthquake in northern Italy kills at least three people and causes thousan... http://t.co/sOC3O9OE,Three killed in Italy earthquake : An earthquake in northern Italy kills at least three people and causes thousan ... http://t.co/sOC3O9OE,"$ V P ^ N , D N P A ^ V P A $ N & V G ~ U"
kills hundreds,T03,Dead people,RT @funkmasterflex: So Sad!! Flooding Kills Hundreds In Northern India. - http://t.co/CSYjNL5QXI #IFWT,RT @funkmasterflex : So Sad !! Flooding Kills Hundreds In Northern India . - http://t.co/CSYjNL5QXI #IFWT,"~ @ ~ R A , V V N P ^ ^ , , U #"
kills last survivor of dhaka factory collapse,T03,Dead people,Bangladesh: fire ‘kills last survivor of Dhaka factory collapse: A fire broke out in the rubble of a Bangladesh... http://t.co/fVvseupZGJ,Bangladesh : fire ‘ kills last survivor of Dhaka factory collapse : A fire broke out in the rubble of a Bangladesh ... http://t.co/fVvseupZGJ,"^ , N , V A N P ^ N N , D N V T P D N P D ^ , U"
kills more than {Number},T03,Dead people,A major earthquake in Pakistan overnight kills more than 50. Quake so violent it created a new island. http://t.co/8L868VAmXP #brekkiewrap,A major earthquake in Pakistan overnight kills more than 50 . Quake so violent it created a new island . http://t.co/8L868VAmXP #brekkiewrap,"D A N P ^ R V A P $ , N R A O V D A N , U #"
kills more than {Number} people,T03,Dead people,"Brazil nightclub fire kills more than 230 people: BRASILIA, Brazil (AP) — Flames raced through a crowded nightcl... http://t.co/9QJcBsR6","Brazil nightclub fire kills more than 230 people : BRASILIA , Brazil ( AP ) — Flames raced through a crowded nightcl ... http://t.co/9QJcBsR6","^ N N V A P $ N , ^ , ^ , ^ , , ^ V P D A N , U"
kills nearly {Number},T03,Dead people,When greed takes precedence over common sense/safety... Bangladesh factory collapse kills nearly 100 http://t.co/ocFCBUDCt6 via @reuters,When greed takes precedence over common sense/safety ... Bangladesh factory collapse kills nearly 100 http://t.co/ocFCBUDCt6 via @reuters,"R N V N P N N , ^ N N V R $ U P @"
kills nearly {Number} people,T03,Dead people,Bangladesh Garment Factory Collapse Kills Nearly 100 People - http://t.co/BH2ZNeWkkt #csr #fashion,Bangladesh Garment Factory Collapse Kills Nearly 100 People - http://t.co/BH2ZNeWkkt #csr #fashion,"^ ^ ^ N V R $ N , U # #"
kills over {Number},T03,Dead people,"Quake kills over 200 in Pakistan, creates new island in sea http://t.co/9LOoPe08OT via MSN News","Quake kills over 200 in Pakistan , creates new island in sea http://t.co/9LOoPe08OT via MSN News","^ V P $ P ^ , V A N P N U P ^ ^"
kills over {Number} people,T03,Dead people,"RT @funkmasterflex: (Photos) Fire Kills Over 245 People In Brazil Nightclub, Hundreds More Injured - http://t.co/ZBriCDNP #IFWT","RT @funkmasterflex : ( Photos ) Fire Kills Over 245 People In Brazil Nightclub , Hundreds More Injured - http://t.co/ZBriCDNP #IFWT","~ @ ~ , N , ^ V P $ N P ^ ^ , N A V , U #"
kills people,T03,Dead people,"Burning fossil fuels kills people RT @billmckibben On the heels of the record heat, 4 dead in Queensland's epic floods. http://t.co/1DhVRrqJ","Burning fossil fuels kills people RT @billmckibben On the heels of the record heat , 4 dead in Queensland's epic floods . http://t.co/1DhVRrqJ","V A N V N ~ @ P D N P D N N , $ A P Z A N , U"
kills several,T03,Dead people,New article: Tsunami in Solomon Islands likely kills several http://t.co/CuxNvrd7 Follow @twptweets ;),New article : Tsunami in Solomon Islands likely kills several http://t.co/CuxNvrd7 Follow @twptweets ;),"A N , N P ^ ^ A V A U V @ E"
kills tsa officer,T03,Dead people,FBI: 23-year-old L.A. man is suspect in airport shooting that kills TSA officer http://t.co/Y1XMvSVuhf,FBI : 23-year-old L.A. man is suspect in airport shooting that kills TSA officer http://t.co/Y1XMvSVuhf,"^ , A ^ N V N P N V O V ^ N U"
largest loss of life,T03,Dead people,"RT @nytimes: 6 American soliders died in a helicopter crash, the largest loss of life for foreign troops in nearly six months http://t.co/G...","RT @nytimes : 6 American soliders died in a helicopter crash , the largest loss of life for foreign troops in nearly six months http://t.co/G ...","~ @ ~ $ A N V P D N N , D A N P N P A N P R $ N U ,"
leave at least {Number} dead,T03,Dead people,CNN Asia > Floods leave at least 107 dead in China - Flooding in China's north and south caused by heavy rain has ... http://t.co/yC4FLTU6Ev,CNN Asia > Floods leave at least 107 dead in China - Flooding in China's north and south caused by heavy rain has ... http://t.co/yC4FLTU6Ev,"^ ^ G N V P A $ A P ^ , V P Z R & R V P A N V , U"
leaves {Number} dead,T03,Dead people,"Helicopter crash, in Glasgow, leaves 8 dead on Friday. http://t.co/9L34qKGaQI","Helicopter crash , in Glasgow , leaves 8 dead on Friday . http://t.co/9L34qKGaQI","N N , P ^ , V $ A P ^ , U"
leaves {Number} people dead,T03,Dead people,Colorado flooding leaves 3 people dead  http://t.co/gunc5TlaQd,Colorado flooding leaves 3 people dead http://t.co/gunc5TlaQd,^ V V $ N A U
leaves {Number}-plus dead,T03,Dead people,"Day after cracks were found, Bangladesh factory collapse leaves 125-plus dead http://t.co/kDIuXfZlTq","Day after cracks were found , Bangladesh factory collapse leaves 125-plus dead http://t.co/kDIuXfZlTq","N P V V V , ^ N N V $ A U"
leaves at least {Number} dead,T03,Dead people,Earthquake in central Philippines leaves at least 20 dead -... http://t.co/vfuCucLdhi,Earthquake in central Philippines leaves at least 20 dead - ... http://t.co/vfuCucLdhi,"N P A N V P A $ A , ~ U"
leaves multiple people dead,T03,Dead people,"Bohol Island, Philippines Earthquake 2013 Leaves Multiple People Dead. Read more at: http://t.co/lRbuuPClP4... http://t.co/H1k2R941ED","Bohol Island , Philippines Earthquake 2013 Leaves Multiple People Dead . Read more at : http://t.co/lRbuuPClP4 ... http://t.co/H1k2R941ED","^ ^ , ^ ^ $ V A N V , V R P , U ~ U"
leaves over {Number} dead,T03,Dead people,@DailyNewsFlash: News Philippines: Typhoon Bopha leaves over 270 dead - http://t.co/mgQuTnqp http://t.co/x6bVwTvT,@DailyNewsFlash : News Philippines : Typhoon Bopha leaves over 270 dead - http://t.co/mgQuTnqp http://t.co/x6bVwTvT,"@ ~ ^ ^ , ^ ^ V P $ A , U U"
leaves scores dead,T03,Dead people,Building Collapse in Bangladesh Leaves Scores Dead http://t.co/6udwfiILRk,Building Collapse in Bangladesh Leaves Scores Dead http://t.co/6udwfiILRk,N N P ^ V V A U
loss of life,T03,Dead people,"RT @LAFD: #LAquake #Earthquake Emergency Mode discontinued. No significant damage, injury or loss of life. LAFD in normal... http://t.co ...","RT @LAFD : #LAquake #Earthquake Emergency Mode discontinued . No significant damage , injury or loss of life . LAFD in normal ... http://t.co ...","~ @ ~ # ^ ^ N V , D A N , N & N P N , ^ P A , U ~"
major victims of car #accidents,T03,Dead people,"Pedestrians, Major Victims of Car #Accidents in #Cuba http://t.co/Ikt079mM #RussianMeteor","Pedestrians , Major Victims of Car #Accidents in #Cuba http://t.co/Ikt079mM #RussianMeteor","N , A N P N N P ^ U #"
many fatalities feared,T03,Dead people,"Helicopter crashes into Glasgow pub, many fatalities feared - Times of India: Times of IndiaHelicopter crashes... http://t.co/HodN1tHePH","Helicopter crashes into Glasgow pub , many fatalities feared - Times of India : Times of IndiaHelicopter crashes ... http://t.co/HodN1tHePH","N V P ^ N , A N V , N P ^ , N P ^ V , U"
massive deadly  earthquake,T03,Dead people,"Massive deadly  earthquake in Bohol, Philippines on October 15 2013 – Part 2 http://t.co/wMXWxzm7VL","Massive deadly earthquake in Bohol , Philippines on October 15 2013 – Part 2 http://t.co/wMXWxzm7VL","A A N P ^ , ^ P ^ $ $ , N $ U"
massive deadly earthquake,T03,Dead people,"Massive deadly  earthquake in Bohol, Philippines on October 15 2013 – Part 2 http://t.co/wMXWxzm7VL","Massive deadly earthquake in Bohol , Philippines on October 15 2013 – Part 2 http://t.co/wMXWxzm7VL","A A N P ^ , ^ P ^ $ $ , N $ U"
meat vendor,T03,Dead people,RT @sunstarcebu: Meat vendor at Mandaue City Public Market killed after getting buried in debris. via @lagunda23 #Cebu #earthquake,RT @sunstarcebu : Meat vendor at Mandaue City Public Market killed after getting buried in debris . via @lagunda23 #Cebu #earthquake,"~ @ ~ N N P ^ ^ ^ ^ V P V V P N , P @ # #"
meteor killing {Number} people,T03,Dead people,did u hear about the meteor killing 1100 people in Russia????,did u hear about the meteor killing 1100 people in Russia ????,"V O V P D N V $ N P ^ ,"
moment of silence,T03,Dead people,"High security, bomb dogs and a moment of silence at O.C. Marathon http://t.co/LClqOalWmc","High security , bomb dogs and a moment of silence at O.C. Marathon http://t.co/LClqOalWmc","A N , A N & D N P N P ^ ^ U"
more bodies could be found,T03,Dead people,"RT @TelegraphNews: Glasgow helicopter crash: more bodies could be found, warns Alex Salmond http://t.co/KHNpctwNYZ","RT @TelegraphNews : Glasgow helicopter crash : more bodies could be found , warns Alex Salmond http://t.co/KHNpctwNYZ","~ @ ~ ^ N N , A N V V V , V ^ ^ U"
more than {Number} killed,T03,Dead people,"RT @RT_com: UPDATE: More than 30 killed, buildings damaged after 7.1 quake hits southern Philippines http://t.co/0J6Eg19Gws http://t.co/Ddk...","RT @RT_com : UPDATE : More than 30 killed , buildings damaged after 7.1 quake hits southern Philippines http://t.co/0J6Eg19Gws http://t.co/Ddk ...","~ @ ~ N , A P $ V , N V P $ N V A N U U ,"
more than {Number} killed by,T03,Dead people,"""""@cnni Roads turn into rivers as more than 100 killed by heavy floods in China: http://t.co/s3rfzerF4P"""" additional prayers please",""""" @cnni Roads turn into rivers as more than 100 killed by heavy floods in China : http://t.co/s3rfzerF4P """" additional prayers please",", @ ^ V P N P A P $ V P A N P ^ , U , A N V"
more than {Number} people now confirmed dead,T03,Dead people,RT @CBSNews: More than 30 people now confirmed dead after Philippines earthquake: http://t.co/P6B0gtLVKM,RT @CBSNews : More than 30 people now confirmed dead after Philippines earthquake : http://t.co/P6B0gtLVKM,"~ @ ~ A P $ N R V A P ^ N , U"
more victims are,T03,Dead people,RT @cnnbrk: At least three deaths have been reported in Colorado flooding; more victims are feared. http://t.co/h6eiw6Nzog,RT @cnnbrk : At least three deaths have been reported in Colorado flooding ; more victims are feared . http://t.co/h6eiw6Nzog,"~ @ ~ P A $ N V V V P ^ V , A N V V , U"
more victims bringing total identified,T03,Dead people,RT @grayhamilton: Police say approx 50 total presumed dead. Coroner has ID'ed 2 more victims bringing total identified to 11. #LacMégantic,RT @grayhamilton : Police say approx 50 total presumed dead . Coroner has ID'ed 2 more victims bringing total identified to 11 . #LacM égantic,"~ @ ~ ^ V ^ $ A A A , ^ V V $ A N V A V P $ , # #"
more victims brings toll,T03,Dead people,"Unbelievably sad “@mpoppel: Bangladesh building collapse surpasses 1,000 dead after recovery of more victims brings toll to 1,041”","Unbelievably sad “ @mpoppel : Bangladesh building collapse surpasses 1,000 dead after recovery of more victims brings toll to 1,041 ”","R A , @ ~ ^ N N V $ A P N P A N V N P $ ,"
multiple casualties,T03,Dead people,"Helicopter crashes into Glasgow pub, multiple casualties - BBC: (Reuters) - A helicopter crashed into a pub in... http://t.co/ghrekTnJ9o","Helicopter crashes into Glasgow pub , multiple casualties - BBC : ( Reuters ) - A helicopter crashed into a pub in ... http://t.co/ghrekTnJ9o","N V P ^ N , A N , ^ , , ^ , , D N V P D N P ~ U"
multiple deaths,T03,Dead people,Via @OnFrequency: Multiple Deaths in NYC Train Derailment http://t.co/Cmi42V292b  #TopPicks,Via @OnFrequency : Multiple Deaths in NYC Train Derailment http://t.co/Cmi42V292b #TopPicks,P @ ~ A N P ^ N N U #
multiple fatalities,T03,Dead people,terrible RT @W7VOA: Collapse of buildings in #Philippines from M7 #quake. Unconfirmed reports of multiple fatalities.,terrible RT @W7VOA : Collapse of buildings in #Philippines from M7 #quake . Unconfirmed reports of multiple fatalities .,"A ~ @ ~ N P N P ^ P ^ N , A N P A N ,"
multiple shooting victims confirmed,T03,Dead people,RT @BuzzFeedNews: LAX UPDATE (per @LAX_Official):  - One suspect in custody  - Multiple shooting victims confirmed  - Press conference at 1...,RT @BuzzFeedNews : LAX UPDATE ( per @LAX_Official ): - One suspect in custody - Multiple shooting victims confirmed - Press conference at 1 ...,"~ @ ~ ^ N , P @ , , $ N P N , N V N V , N N P $ ,"
multiple victims,T03,Dead people,Timeline For LAX Shooting - 'Multiple victims' hit; gunman had rifle. http://t.co/Nm0fJUGfmK,Timeline For LAX Shooting - ' Multiple victims ' hit ; gunman had rifle . http://t.co/Nm0fJUGfmK,"N P ^ ^ , , ^ N , V , N V N , U"
